Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.101.0/24,185.220.101.16,AUDITORIA,1,1
185.220.101.0/24,185.220.101.17,AUDITORIA,1,1
185.220.101.0/24,185.220.101.18,AUDITORIA,1,1
185.220.101.0/24,185.220.101.20,AUDITORIA,1,1
185.220.101.0/24,185.220.101.21,AUDITORIA,1,1
185.220.101.0/24,185.220.101.22,AUDITORIA,1,1
185.220.101.0/24,185.220.101.23,AUDITORIA,1,1
185.220.101.0/24,185.220.101.25,AUDITORIA,1,1
185.220.101.0/24,185.220.101.26,AUDITORIA,1,1
185.220.101.0/24,185.220.101.27,AUDITORIA,1,1
185.220.101.0/24,185.220.101.28,AUDITORIA,1,1
185.220.101.0/24,185.220.101.29,AUDITORIA,1,1
185.220.101.0/24,185.220.101.30,AUDITORIA,1,1
185.220.101.0/24,185.220.101.31,AUDITORIA,1,1
185.220.101.0/24,185.220.101.32,AUDITORIA,1,1
185.220.101.0/24,185.220.101.33,AUDITORIA,1,1
185.220.101.0/24,185.220.101.34,AUDITORIA,1,1
185.220.101.0/24,185.220.101.35,AUDITORIA,1,1
185.220.101.0/24,185.220.101.36,AUDITORIA,1,1
185.220.101.0/24,185.220.101.37,AUDITORIA,1,1
185.220.101.0/24,185.220.101.39,AUDITORIA,1,1
185.220.101.0/24,185.220.101.40,AUDITORIA,1,1
185.220.101.0/24,185.220.101.41,AUDITORIA,1,1
185.220.101.0/24,185.220.101.42,AUDITORIA,1,1
185.220.101.0/24,185.220.101.43,AUDITORIA,1,1
185.220.101.0/24,185.220.101.44,AUDITORIA,1,1
185.220.101.0/24,185.220.101.45,AUDITORIA,1,1
185.220.101.0/24,185.220.101.46,AUDITORIA,1,1
185.220.101.0/24,185.220.101.48,AUDITORIA,1,1
185.220.101.0/24,185.220.101.49,AUDITORIA,1,1
185.220.101.0/24,185.220.101.50,AUDITORIA,1,1
185.220.101.0/24,185.220.101.51,AUDITORIA,1,1
185.220.101.0/24,185.220.101.52,AUDITORIA,1,1
185.220.101.0/24,185.220.101.53,AUDITORIA,1,1
185.220.101.0/24,185.220.101.54,AUDITORIA,1,1
185.220.101.0/24,185.220.101.55,AUDITORIA,1,1
185.220.101.0/24,185.220.101.56,AUDITORIA,1,1
185.220.101.0/24,185.220.101.57,AUDITORIA,1,1
185.220.101.0/24,185.220.101.58,AUDITORIA,1,1
185.220.101.0/24,185.220.101.59,AUDITORIA,1,1
185.220.101.0/24,185.220.101.60,AUDITORIA,1,1
185.220.101.0/24,185.220.101.61,AUDITORIA,1,1
185.220.101.0/24,185.220.101.62,AUDITORIA,1,1
185.220.101.0/24,185.220.101.63,AUDITORIA,1,1
185.220.101.0/24,185.220.101.64,AUDITORIA,1,1
185.220.101.0/24,185.220.101.65,AUDITORIA,1,1
185.220.101.0/24,185.220.101.66,AUDITORIA,1,1
185.220.101.0/24,185.220.101.67,AUDITORIA,1,1
185.220.101.0/24,185.220.101.69,AUDITORIA,1,1
185.220.101.0/24,185.220.101.70,AUDITORIA,1,1
185.220.101.0/24,185.220.101.71,AUDITORIA,1,1
185.220.101.0/24,185.220.101.72,AUDITORIA,1,1
185.220.101.0/24,185.220.101.73,AUDITORIA,1,1
185.220.101.0/24,185.220.101.74,AUDITORIA,1,1
